label,area,solidity,circularity,ellipse_iou,ellipse_area_ratio,ellipse_axis_ratio,score,candidate
95,3,6.0000,1.6170,0.0000,0.0000,0.0000,1.3617,False
10,12,2.0000,1.2861,0.7692,0.9167,2.1506,1.0353,False
16,15,1.5789,1.1033,0.8125,0.9333,1.6181,0.9505,False
59,16572,0.9902,0.7959,0.9155,0.9847,1.5630,0.9457,True
94,6,2.4000,0.8085,0.7500,0.7500,4.8082,0.9359,False
53,14405,0.9308,0.6898,0.9356,0.9904,1.8659,0.9311,True
89,31,1.4419,1.0989,0.8286,0.9394,1.6494,0.9292,False
50,12,1.8462,0.8826,0.6471,0.7500,2.3946,0.8965,False
83,15,1.5789,1.1454,0.6875,0.8000,1.3236,0.8910,False
112,35,1.3725,0.8890,0.8000,0.9459,1.9153,0.8853,False
49,5,3.3333,1.1430,0.2000,0.2000,4.2407,0.8810,False
40,18610,0.8400,0.5757,0.8696,0.9635,1.3022,0.8744,True
98,16184,0.7659,0.4661,0.8733,0.9635,1.2808,0.8500,True
110,20,1.6667,0.8061,0.8696,0.8696,3.7970,0.8487,False
32,830,1.0343,0.8411,0.8821,0.9629,1.4241,0.8441,False
15,26873,0.8852,0.4926,0.7942,0.9248,1.6262,0.8430,True
78,1873,0.9952,0.8152,0.8978,0.9685,1.3261,0.8401,False
46,49,1.3067,0.9428,0.7419,0.8305,1.6492,0.8399,False
42,10688,0.9591,0.7808,0.9044,0.9668,1.1712,0.8315,False
38,1719,0.9942,0.7750,0.8706,0.9582,1.4570,0.8248,False
101,3858,0.9519,0.7025,0.8977,0.9760,1.7653,0.8212,False
23,2419,0.9922,0.8046,0.8463,0.9468,1.2504,0.8171,False
107,1983,0.9754,0.7586,0.8431,0.9420,1.3004,0.8073,False
21,88,1.0667,0.7067,0.7864,0.9167,1.9715,0.7968,False
18,3400,0.9219,0.6985,0.8566,0.9505,1.4657,0.7966,False
17,592,0.9642,0.7221,0.8267,0.9236,1.4617,0.7929,False
6,350,1.0417,0.6984,0.7840,0.9091,2.1517,0.7889,False
109,455,0.9589,0.7084,0.8282,0.9046,1.5785,0.7882,False
61,13173,0.8270,0.3722,0.7355,0.8534,2.4691,0.7880,False
29,1320,0.9517,0.5938,0.8447,0.9192,2.4676,0.7833,False
105,664,0.9940,0.6642,0.8018,0.9022,2.1262,0.7812,False
54,207,1.0838,0.7216,0.7373,0.8771,1.4884,0.7785,False
56,1553,0.9225,0.5996,0.8379,0.9255,2.0045,0.7765,False
24,131,1.0038,0.7103,0.7673,0.8733,1.1546,0.7713,False
22,9458,0.9034,0.5563,0.8364,0.9295,2.0921,0.7685,False
97,6693,0.8946,0.5563,0.8393,0.9295,1.9298,0.7677,False
81,7151,0.8956,0.5584,0.8314,0.9329,1.9552,0.7659,False
111,637,1.0047,0.6659,0.7671,0.8655,1.7045,0.7658,False
2,2409,0.9290,0.6591,0.7955,0.8860,1.7601,0.7630,False
88,79,1.1127,0.6824,0.6923,0.8144,1.8608,0.7552,False
11,16,1.7778,0.7621,0.6250,0.6957,2.5534,0.7549,False
84,243,0.9739,0.5783,0.7718,0.8526,2.3835,0.7506,False
4,35,1.2727,0.7336,0.8293,0.8750,3.6407,0.7494,False
55,5011,0.9022,0.5932,0.7799,0.8827,1.8662,0.7451,False
20,900,0.8902,0.5777,0.7981,0.8637,1.8164,0.7447,False
7,1113,0.8883,0.5967,0.7824,0.8812,1.6569,0.7434,False
27,1780,0.9142,0.6741,0.7551,0.8545,1.2069,0.7427,False
108,727,0.8981,0.6101,0.7692,0.8686,1.6116,0.7401,False
104,10464,0.8587,0.3896,0.8142,0.9028,2.3989,0.7311,False
1,465,0.8942,0.5274,0.7711,0.8595,2.3303,0.7304,False
